rank,facility_name,parent_company,max_co2e_metric_tons,subparts
1,"Greensville County Power Station","Dominion Energy",3897339,"C,D"
2,"Warren County Power Station","Dominion Energy",3136841,"C,D"
3,"Brunswick County Power Station","Dominion Energy",2764865,"C,D"
4,"Doswell Limited Partnership","LS Power",2581376,"C,D"
5,"Chesterfield Power Station","Dominion Energy",2178788,"C,D"
6,"Potomac Energy Center","Ares Capital",1655660,"C,D"
7,"Tenaska Virginia Generating Station","Tenaska Inc",1529451,"D"
8,"Virginia City Hybrid Energy Center","Dominion Energy",1287423,"D"
9,"ADVANSIX INCORPORATED - HOPEWELL","AdvanSix Inc",1227774,"C,G,PP"
10,"WestRock Virginia, Covington","WestRock Co",1170413,"AA,C,TT"
11,"Bear Garden Generating Station","Dominion Energy",1146397,"C,D"
12,"Buchanan Mine #1","Coronado Group LLC",1092629,"FF"
13,"Deep Mine 41","Alpha Metallurgical Resources Inc",1001498,"FF"
14,"ROANOKE CEMENT CO - CLOVERDALE","Titan America LLC",844971,"C,H"
15,"Possum Point Power Station","Dominion Energy",742576,"C,D"
16,"Clover Power Station","Dominion Energy / Old Dominion Electric Cooperative",671608,"D"
17,"WestRock CP, LLC - West Point Mill","WestRock Co",587189,"AA,C,TT"
18,"Celanese Acetate LLC - Manufacturing Processes","Celanese Corp",542610,"C,TT"
19,"Ladysmith Combustion Turbine Sta","Dominion Energy",500361,"C,D"
20,"Hopewell Energy Facility","Vistra Corp",494746,"C,D"
